image_id,class_id
test_00000,1
test_00001,1
test_00002,1
test_00003,0
test_00004,0
test_00005,1
test_00006,1
test_00007,0
test_00008,0
test_00009,0
test_00010,0
test_00011,0
test_00012,1
test_00013,0
test_00014,1
test_00015,1
test_00016,1
test_00017,0
test_00018,0
test_00019,0
test_00020,0
test_00021,0
test_00022,0
test_00023,1
test_00024,1
test_00025,0
test_00026,0
test_00027,1
test_00028,0
test_00029,0
test_00030,1
test_00031,0
test_00032,0
test_00033,1
test_00034,0
test_00035,0
test_00036,0
test_00037,0
test_00038,0
test_00039,0
test_00040,1
test_00041,0
test_00042,0
test_00043,0
test_00044,1
test_00045,0
test_00046,1
test_00047,0
test_00048,1
test_00049,0
test_00050,0
test_00051,1
test_00052,1
test_00053,0
test_00054,0
test_00055,0
test_00056,1
test_00057,0
test_00058,1
test_00059,0
test_00060,1
test_00061,1
test_00062,0
test_00063,1
test_00064,0
test_00065,0
test_00066,0
test_00067,1
test_00068,1
test_00069,1
test_00070,0
test_00071,1
test_00072,0
test_00073,0
test_00074,1
test_00075,1
test_00076,0
test_00077,1
test_00078,1
test_00079,0
test_00080,1
test_00081,0
test_00082,1
test_00083,0
test_00084,0
test_00085,1
test_00086,0
test_00087,0
test_00088,1
test_00089,0
test_00090,1
test_00091,0
test_00092,0
test_00093,1
test_00094,1
test_00095,0
test_00096,1
test_00097,0
test_00098,0
test_00099,0
test_00100,1
test_00101,1
test_00102,0
test_00103,1
test_00104,0
test_00105,1
test_00106,1
test_00107,0
test_00108,0
test_00109,0
test_00110,0
test_00111,0
test_00112,1
test_00113,1
test_00114,0
test_00115,0
test_00116,0
test_00117,0
test_00118,1
test_00119,0
test_00120,0
test_00121,1
test_00122,0
test_00123,1
test_00124,0
test_00125,0
test_00126,0
test_00127,1
test_00128,0
test_00129,0
test_00130,0
test_00131,0
test_00132,1
test_00133,0
test_00134,1
test_00135,0
test_00136,0
test_00137,0
test_00138,1
test_00139,1
test_00140,1
test_00141,0
